Department,Category,AI Tool,Overview,Reference
General,"Research, Writing",ChatGPT,ChatGPT is a Chatbot that takes instructions from you and provides a detailed response.,https://chat.openai.com/
General,Research,Bing AI Search,Find better answers with this GPT-4 powered search tool.,https://www.bing.com/new
"Architect, Marketing","Design, Graphics","DALL-E 2
",DALL·E 2 creates realistic images and art from a text description.,https://openai.com/dall-e-2/
"Admin, Marketing","Operations, Research",https://touch.app/,Find Ideal Business Customers in seconds,https://touch.app/
"Admin, Architect, Marketing","Design, Graphics",Midjourney ,Midjourney uses text to generate to generate images of anything you can imagine.,https://www.midjourney.com/
General,Operations,Notion AI,Notion AI organises your notes and automates tedious tasks. ,https://www.notion.so/product/ai
General,"Design, Research",Decktopus,Create compelling presentations in a flash.,https://www.decktopus.com/
"General, Marketing",Research,Essense,"With Esssense, you can analyze your customer feedback in seconds. It’s your AI power co-pilot for customer research.",https://www.essense.io/
Marketing,"Graphics, Writing",Sturdy,"Sturdy's AI alerts your team to customer-related issues, product gaps, and revenue risks you'd otherwise miss.",https://www.sturdy.ai/?utm_source=superhuman&utm_medium=newsletter
"Admin, Marketing","Design, Graphics","Looka
",Use Looka's AI-powered platform to design a logo and build a brand you love.,https://looka.com/
"Admin, Marketing","Design, Graphics",Deep Agency,Hire an AI generated model for your product shoot and marketing needs.,https://www.deepagency.com/
General,"Operations, Writing",Eightify,Eightify summarises youtube videos. All you do is provide a link.,https://eightify.app/
"Admin, Marketing",Writing,"Copy AI
",Generate copywriting material for your sales and marketing needs.,https://www.copy.ai/
"Admin, Marketing",Writing,Ghostwryter,"Ghostwryter is specially made for Google Docs. You can use it to write your SEO texts, blog posts and other marketing content.",https://ghostwryter.net/
General,"Design, Graphics, Operations",Slides AI,"Let the AI write the outline and presentation content for you. With Slides AI, you can easily create professional, engaging slides from any text in no time.",https://www.slidesai.io/
General,"Research, Writing",AskNow,Ask popular people anything and the AI will generate a response in their style.,https://www.asknow.ai/
"Admin, Marketing",Writing,Wordtune,"Wordtune rewords your thoughts but in clear, compelling and authentic writing.",https://www.wordtune.com/
Marketing,Design,Supercreator AI,Create short form videos 10x faster using artificial intelligence,https://www.supercreator.ai/
"General, TAR","Operations, Writing",Resume Worded,Improve your resume and LinkedIn profile with tailored feedback from AI. Designed by top recruiters.,https://resumeworded.com/
General,"Research, Writing",WriteSonic,Like Chat GPT but with access to the latest data from Google (and not just up till 2021 like Chat GPT).,https://writesonic.com/chat
"Architect, Marketing","Design, Graphics",http://stockimg.ai/,Design the best stock images with a prompt in seconds.,https://stockimg.ai/
General,Writing,Ellie,An email writing assistant that learns from your writing style and crafts replies as if they were written by you,https://tryellie.com/
"Admin, Architect, Marketing","Design, Graphics",Galileo AI,Create delightful designs and UIs 10x faster with simple text descriptions.,https://www.usegalileo.ai/
"Admin, Marketing","Design, Graphics",Uizard,"Design stunning web apps, wireframes and prototypes in minutes. ",https://uizard.io/
"Admin, Engineer, Marketing",Operations,https://hunch.tools/ ,Transforms your creative & media workflows through automation and AI,https://hunch.tools/
"Admin, Architect, Marketing","Design, Graphics",RestorePhotos,Have old and blurry face photos? Let our AI restore them.,https://www.restorephotos.io/
General,"Design, Graphics",http://remove.bg/,"Remove Image Background
100% Automatically",https://www.remove.bg/
"Admin, TAR",Operations,https://www.usercall.co/,"Conduct audio interviews/surveys with your audience, at scale, using an this AI agent",https://www.usercall.co/
"Admin, Marketing",Design,Windsor,"Record one video and use Windsor's AI platform to
send millions of personalized videos to your customers.",https://www.windsor.io/
"Admin, Marketing",Design,Vidyo,Make short videos from long ones instantly.,https://vidyo.ai/
"Admin, Marketing",Writing,http://typli.ai/,The most intuitive A.I Content tool which combines AI Writing and an SEO Assistant.,https://typli.ai/
"Admin, Marketing",Design,Tavus,"Tavus takes what you record & automatically transform it into countless AI-generated videos, customized with unique voice variables to each customer.",https://www.tavus.io/
General,Research,Igniter,Igniter helps you find the right AI tools and resources to get the job done faster.,https://www.igniter.ai/
Marketing,"Design, Research",https://fliki.ai/,Transform your ideas into stunning videos with our AI video generator,https://fliki.ai/
General,Writing,Jasper AI,"Jasper AI makes it fast & easy to create content for your blog, social media, website, and more!",http://jasper.ai/
General,Writing,Jenni AI,"Write blogs, essays, or anything else 10x faster with Jenni.",https://jenni.ai/
Marketing,Design,http://murf.ai/,"Make studio-quality voice overs in minutes. Use Murf’s lifelike AI voices for podcasts, videos and all your professional presentations.",https://murf.ai/
"Admin, Marketing",Writing,Tribescaler,"Now, you can ideate and make the most amazing Twitter hook in seconds. For the first time ever, a tool that uses an AI algorithm for generating irrestistable thread hooks.",https://tribescaler.com/
General,Operations,Otter AI,"Get an AI meeting assistant that records audio, writes notes, automatically captures slides, and generates summaries.",https://otter.ai/
General,Operations,https://formshare.ai/?utm_source=www.superhuman.ai&utm_medium=referral&utm_campaign=how-ai-is-helping-personalize-medical-care, lets you create conversational forms by simply describing them in natural language.,https://formshare.ai/?utm_source=www.superhuman.ai&utm_medium=referral&utm_campaign=how-ai-is-helping-personalize-medical-care
"Admin, TAR",Operations,Yip,Convert Any Text or Any Website Into A Quiz Automatically.,https://yippity.io/
General,Operations,Whisper Memos,Whisper Memos uses the latest AI technology to turn your voice memos into accurate transcripts.,https://whispermemos.com/
"Admin, Engineer",Operations,Magical,Automate repetitive tasks.,https://www.getmagical.com/ai
"Admin, Finance","Operations, Writing",Spellbook,"Spellbook uses GPT-3 to review and suggest language for your contracts, right in Microsoft Word.",https://www.spellbook.legal/
Engineer,"Operations, Research",Prodigy AI,Prodigy uses the latest AI to build tools that help software engineers build better careers.,https://ai.prodi.gg/
"Admin, Engineer, Marketing",Design,HTML to Design,Convert any website into fully editable Figma designs.,https://www.figma.com/community/plugin/1159123024924461424/html.to.design
General,"Operations, Writing",Supernormal,Supernormal helps you create amazing meeting notes without lifting a finger.,https://supernormal.com/
General,Operations,Rationale,"Enter a pending decision and Rationale’s GPT and algorithms will list the pros and cons, as well as a SWOT analysis of the choices in question.",https://rationale.jina.ai/
General,"Operations, Research, Writing",Nanonets,Automate Manual Data Entry Using AI by reducing turn around times and the manual effort required.,https://nanonets.com/
Admin,Research,https://www.planitly.com/,"Instantly creates your dream vacation! Tailor-made travel plans crafted just for you, effortlessly",https://www.planitly.com/
TAR,Writing,HireYay,Create engaging job ads with AI and distribute to millions of job seekers in one click.,https://hireyay.com/
General,Operations,Quickchat AI,Technology to build AI Assistants that talk like a Human.,https://www.quickchat.ai/
General,Operations,echowin,"Echowin takes multiple calls at a time, lets you see call transcripts in real time and personalizes every response for your customers.",https://echo.win/
"Admin, Engineer, Finance, General","Operations, Research",BoloForms SheetGod,The AI Tool That Turns English Into Excel Formulas In Seconds.,https://www.boloforms.com/sheetgod/
